account_rewards,date
10034.158032596595,2012-09-20
27533.316056204014,2012-09-21
-3514.1596323036974,2012-09-24
-89180.04807629819,2012-09-25
129941.08006510104,2012-09-26
83416.38619089928,2012-09-27
-106035.03176329745,2012-09-28
128458.51626039359,2012-10-08
-32809.692343699484,2012-10-09
-108941.39809089972,2012-10-10
3803.8098236019637,2012-10-11
-43117.13026499795,2012-10-12
18098.286454996945,2012-10-15
-62560.86851379891,2012-10-16
69569.21206480007,2012-10-17
-53726.3659751988,2012-10-18
-62641.7323266013,2012-10-19
-181938.3362387978,2012-10-22
-57770.327678701884,2012-10-23
-59475.48152149976,2012-10-24
-162105.74354979937,2012-10-25
-83666.54612189943,2012-10-26
-24084.800904100463,2012-10-29
20771.14860030125,2012-10-30
82354.14771949915,2012-10-31
-48257.21043860142,2012-11-01
-100876.20239359724,2012-11-02
-78970.5426953053,2012-11-05
-3612.4178841990147,2012-11-06
-105051.23885269862,2012-11-07
-68855.8892443018,2012-11-08
-106163.61158669682,2012-11-09
-142138.83486290116,2012-11-12
11540.04999999957,2012-11-13
-143241.49239999978,2012-11-14
-118998.76519999973,2012-11-15
-210366.30280000303,2012-11-16
-87137.88439999703,2012-11-19
9995.96760000071,2012-11-20
-129546.64239999908,2012-11-21
30108.012399999556,2012-11-22
-126984.1876,2012-11-23
-137582.21039999972,2012-11-26
-120203.74159999803,2012-11-27
-60558.37720000413,2012-11-28
-11835.219200001684,2012-11-29
-268669.680799997,2012-11-30
-55947.72399999968,2012-12-03
83261.35279999943,2012-12-04
-104880.9203999997,2012-12-05
57441.57520000045,2012-12-06
-39192.317999997846,2012-12-07
-56867.665200003976,2012-12-10
34121.84680000072,2012-12-11
-168308.15959999937,2012-12-12
132798.91520000243,2012-12-13
-45359.20200000214,2012-12-14
-32057.870400001084,2012-12-17
-7114.584000002446,2012-12-18
-39177.6215999965,2012-12-19
-55795.544400001585,2012-12-20
-141991.8735999982,2012-12-21
8181.757999998001,2012-12-24
-34351.40199999628,2012-12-25
-53137.2432000027,2012-12-26
54781.512399998544,2012-12-27
17153.765200001606,2012-12-28
-126074.46080000032,2012-12-31
-83572.58279999794,2013-01-04
-783.4616000001196,2013-01-07
-33937.665200000585,2013-01-08
-86108.39560000182,2013-01-09
-173389.71480000005,2013-01-10
93056.61200000122,2013-01-11
-25732.151199998774,2013-01-14
-150708.66920000018,2013-01-15
-122386.31079999986,2013-01-16
55844.37039999991,2013-01-17
-162274.82320000159,2013-01-18
-112819.1432000009,2013-01-21
-25595.635199997952,2013-01-22
-182338.64679999894,2013-01-23
-85999.65520000205,2013-01-24
-54426.49439999913,2013-01-25
-74641.6544,2013-01-28
-87561.89400000099,2013-01-29
-121144.14239999736,2013-01-30
6514.351199998715,2013-01-31
-137438.47600000023,2013-02-01
74186.01599999885,2013-02-04
-43352.57519999804,2013-02-05
-24507.655599999947,2013-02-06
63609.90079999755,2013-02-07
-214651.82319999783,2013-02-08
-170259.9028,2013-02-18
11000.568799999843,2013-02-19
-201271.3256000005,2013-02-20
-71777.6683999997,2013-02-21
-99349.4576000001,2013-02-22
-134438.62440000125,2013-02-25
-78386.65519999809,2013-02-26
38667.85119999942,2013-02-27
-69480.65999999987,2013-02-28
-245664.75639999937,2013-03-01
53241.80279999726,2013-03-04
19833.735200001654,2013-03-05
-97866.87519999717,2013-03-06
-122022.29160000311,2013-03-07
