account_rewards,date
2067.9108770008515,2012-11-02
-4396.588194499125,2012-11-05
749.8205247001943,2012-11-06
-79120.04336400105,2012-11-07
1268.5674504011245,2012-11-08
804.6982257989258,2012-11-09
-67193.40848129884,2012-11-12
19834.355891199437,2012-11-13
-31921.741892899652,2012-11-14
-16896.16054689937,2012-11-15
-16158.313560997836,2012-11-16
-36827.249406402196,2012-11-19
45032.961950200115,2012-11-20
-36405.044507599,2012-11-21
28891.808198599792,2012-11-22
-29675.3876186995,2012-11-23
-30589.746562198965,2012-11-26
-38281.0697916023,2012-11-27
-21499.237529298494,2012-11-28
28572.390304699995,2012-11-29
-60220.35416880062,2012-11-30
28503.72342859962,2012-12-03
101649.2590462998,2012-12-04
-13400.87428939973,2012-12-05
90733.2238410004,2012-12-06
27456.96301100074,2012-12-07
-24892.46854979963,2012-12-10
7651.846896099459,2012-12-11
-20031.815268700095,2012-12-12
172418.30779290007,2012-12-13
-12525.324908700059,2012-12-14
-10103.751997399837,2012-12-17
8727.55298239961,2012-12-18
17534.03611580118,2012-12-19
17376.34226599903,2012-12-20
55735.18470059964,2012-12-21
108037.5515487997,2012-12-24
27052.66000040136,2012-12-25
1064.7499940999435,2012-12-26
56837.327211899785,2012-12-27
132003.72977199833,2012-12-28
13.56560450091065,2012-12-31
83951.73915719948,2013-01-04
9069.0942890014,2013-01-07
-21789.47634930236,2013-01-08
47782.441016602,2013-01-09
-50583.488693900224,2013-01-10
180724.34924860008,2013-01-11
5784.535272901053,2013-01-14
-27410.733893400622,2013-01-15
-74704.60181960066,2013-01-16
87647.8399537022,2013-01-17
7596.936554096696,2013-01-18
-65470.76338399812,2013-01-21
7864.059896401832,2013-01-22
-74442.8436240008,2013-01-23
-7793.272674200981,2013-01-24
100371.71214210006,2013-01-25
19481.897611599365,2013-01-28
-5755.695546399943,2013-01-29
-44730.77716829841,2013-01-30
63121.030647699634,2013-01-31
-27792.710230199682,2013-02-01
39750.21713419939,2013-02-04
-26960.606086698364,2013-02-05
5428.012901100929,2013-02-06
35724.2468961982,2013-02-07
-30240.39543079698,2013-02-08
-91989.3840033026,2013-02-18
58230.42413580036,2013-02-19
-134022.50779479835,2013-02-20
-35447.868213702066,2013-02-21
-14224.152041898575,2013-02-22
-93601.6464890025,2013-02-25
21519.708889602825,2013-02-26
141418.25597079992,2013-02-27
-25384.06392180091,2013-02-28
-171257.16646100004,2013-03-01
127218.62656019937,2013-03-04
59870.92585400086,2013-03-05
-63559.32134779866,2013-03-06
-5840.703736102017,2013-03-07
-12305.511619400268,2013-03-08
-63780.69985240037,2013-03-11
-68214.82266859869,2013-03-12
42372.543785702175,2013-03-13
-9291.109386701406,2013-03-14
-49375.772485099405,2013-03-15
-4934.837193699427,2013-03-18
171896.95720120016,2013-03-19
16688.838703097437,2013-03-20
-8629.858378000836,2013-03-21
-3752.7443960985183,2013-03-22
-6711.90870900154,2013-03-25
18980.25209440121,2013-03-26
-122076.58405959881,2013-03-27
-31511.25328109999,2013-03-28
-57151.13486499938,2013-03-29
-60255.3991922002,2013-04-01
-24193.695869701034,2013-04-02
535.3057564998433,2013-04-03
16618.571557900123,2013-04-08
14945.485585598572,2013-04-09
-42597.494314799274,2013-04-10
-58678.9535399986,2013-04-11
-64296.64285550135,2013-04-12
40296.05421160038,2013-04-15
32264.789771799482,2013-04-16
-9292.802446599522,2013-04-17
116170.23050160048,2013-04-18
39777.429306600294,2013-04-19
-112390.15523529953,2013-04-22
86396.03096759884,2013-04-23
-12789.713493200574,2013-04-24
-73130.89852099959,2013-04-25
-37738.37842759733,2013-04-26
97572.4783793985,2013-05-02
45396.183395601045,2013-05-03
6944.091143898208,2013-05-06
82857.16985190047,2013-05-07
-105533.83483579765,2013-05-08
64966.58769979848,2013-05-09
-34810.56056150211,2013-05-10
-48597.14409009774,2013-05-13
45509.84904690086,2013-05-14
61516.94337720001,2013-05-15
51562.63942199856,2013-05-16
3757.3314228991176,2013-05-17
69663.59542980032,2013-05-20
33767.94392070101,2013-05-21
-124419.31866019922,2013-05-22
3328.5124424978476,2013-05-23
823.6076874017282,2013-05-24
55421.61645899828,2013-05-27
2540.2486167017214,2013-05-28
-36029.78044589973,2013-05-29
-81558.01019650207,2013-05-30
-470.4217375967623,2013-05-31
-51677.77462880111,2013-06-03
-31832.955447201362,2013-06-04
-18478.525545198492,2013-06-05
-69633.28666729998,2013-06-06
-141272.46448199966,2013-06-07
25728.419924896738,2013-06-13
-62548.81533149918,2013-06-14
90131.94494490275,2013-06-17
-31279.663053800323,2013-06-18
-151672.8488045999,2013-06-19
46724.87527049721,2013-06-20
-211459.13712419823,2013-06-21
47240.05282970054,2013-06-24
17234.21762109912,2013-06-25
-45248.10781109878,2013-06-26
58025.33094090017,2013-06-27
69345.21806699874,2013-06-28
66786.34766780063,2013-07-01
-30135.506060500033,2013-07-02
23649.133524200053,2013-07-03
3794.960587801251,2013-07-04
-171648.3889916008,2013-07-05
-21991.726407398553,2013-07-08
102306.48128329738,2013-07-09
143748.7663429014,2013-07-10
-74784.4121085004,2013-07-11
63911.39635559764,2013-07-12
100229.78099300264,2013-07-15
-38467.49152400055,2013-07-16
-77931.68303770052,2013-07-17
-157201.97791290047,2013-07-18
71277.59650120232,2013-07-19
133107.39556039879,2013-07-22
45059.11741809922,2013-07-23
-61084.34734789937,2013-07-24
-35097.79533739955,2013-07-25
-86775.93377170085,2013-07-26
9540.938791801409,2013-07-29
10144.891116699993,2013-07-30
98441.60051509769,2013-07-31
-16024.607900697933,2013-08-01
87523.21683599884,2013-08-02
95137.81027400045,2013-08-05
38933.71943520066,2013-08-06
163938.79410269833,2013-08-07
70661.14242120003,2013-08-08
37911.25553280108,2013-08-09
-20063.748590200892,2013-08-12
-7698.463508299547,2013-08-13
-63444.97359060055,2013-08-14
-25757.40218589948,2013-08-15
65103.25389189938,2013-08-16
-17303.46665399936,2013-08-19
49084.376358499496,2013-08-20
-12426.011333600525,2013-08-21
19751.68855200074,2013-08-22
153373.25025419987,2013-08-23
-39263.2813274996,2013-08-26
-34423.581584898886,2013-08-27
4679.674559599395,2013-08-28
-17624.435628802283,2013-08-29
-25832.13495820009,2013-08-30
78279.1582229033,2013-09-02
25427.993373299254,2013-09-03
-834.5054327997416,2013-09-04
-23967.813977800193,2013-09-05
81380.48313830016,2013-09-06
39122.24676569977,2013-09-09
-53146.5843490987,2013-09-10
-3691.6422231005063,2013-09-11
-64914.89351700087,2013-09-12
127471.5342827999,2013-09-13
-20097.137457798955,2013-09-16
79204.44847239989,2013-09-17
141384.37825999915,2013-09-18
-86334.38578289948,2013-09-23
-7514.513368398641,2013-09-24
-112670.04228869993,2013-09-25
75038.94286019892,2013-09-26
139991.7788069998,2013-09-27
224718.0884433009,2013-09-30
-55802.454486299386,2013-10-08
23689.24135139696,2013-10-09
25064.721360602187,2013-10-10
-59339.38504480177,2013-10-11
3368.3711520006277,2013-10-14
-131841.37906109818,2013-10-15
10638.093535599042,2013-10-16
45752.08333390131,2013-10-17
226424.63430989935,2013-10-18
-84728.63891770062,2013-10-21
-215299.49121860054,2013-10-22
-142411.17645070076,2013-10-23
-310567.50964399846,2013-10-24
84645.81633880068,2013-10-25
-38581.03093770107,2013-10-28
-13146.35443629939,2013-10-29
-157565.2084823015,2013-10-30
104535.37526810044,2013-10-31
13994.152768402395,2013-11-01
84415.16571179818,2013-11-04
-139503.44554280044,2013-11-05
-82839.82288029845,2013-11-06
-38957.48363999935,2013-11-07
62007.56948929923,2013-11-08
16766.481386800144,2013-11-11
-199347.3863805001,2013-11-12
77890.75865670053,2013-11-13
78087.66285039824,2013-11-14
251887.60178420148,2013-11-15
11671.151407098067,2013-11-18
40855.90797960288,2013-11-19
-91076.04454710122,2013-11-20
-35019.7624736002,2013-11-21
62534.38995810011,2013-11-22
71489.33020729966,2013-11-25
18097.473264800436,2013-11-26
30600.016358099547,2013-11-27
-36560.11845030012,2013-11-28
-87285.68181499992,2013-11-29
66956.82418729847,2013-12-02
99607.29598610188,2013-12-03
-47165.13921919936,2013-12-04
30706.268092400554,2013-12-05
-25916.10670150078,2013-12-06
114.9455108984694,2013-12-09
-129509.49848790014,2013-12-10
30666.549257601517,2013-12-11
44402.303529399374,2013-12-12
-86091.9610989004,2013-12-13
