account_value,date,daily_return
10000000.0,2012-01-09,
6830490.1612777,2012-01-10,-0.31695098387223
6826947.799940799,2012-01-11,-0.0005186101221523742
6827761.150114799,2012-01-12,0.00011913818558961786
6798099.508555397,2012-01-13,-0.004344270531329686
6742999.936599597,2012-01-16,-0.00810514348700797
6803024.792748198,2012-01-17,0.00890180286415232
6760189.299604496,2012-01-18,-0.0062965363861915424
6786868.092828795,2012-01-19,0.003946456532786691
6815566.852505192,2012-01-20,0.004228571895587674
6792905.050509492,2012-01-30,-0.0033250061933396413
6805713.309054093,2012-01-31,0.0018855347527109156
6800050.066502794,2012-02-01,-0.0008321306370290271
6821723.038223794,2012-02-02,0.0031871782573722474
6834920.128691097,2012-02-03,0.0019345684944047647
6850149.549128195,2012-02-06,0.00222817825963606
6830924.699990194,2012-02-07,-0.002806486048242185
6862461.639483095,2012-02-08,0.00461678921639197
6861076.065249396,2012-02-09,-0.00020190629929761617
6860167.220221497,2012-02-10,-0.00013246391954491177
6868479.886857398,2012-02-13,0.001211729447555987
6870048.325906297,2012-02-14,0.00022835315451685823
6886880.630139997,2012-02-15,0.002450099829753416
6882391.045084899,2012-02-16,-0.0006519040035991575
6878480.579790498,2012-02-17,-0.0005681841192667347
6872847.4617179,2012-02-20,-0.0008189480230778035
6904704.921471801,2012-02-21,0.004635263612549068
6927564.019108001,2012-02-22,0.003310655255536643
6922046.855790704,2012-02-23,-0.0007964074098889551
6949937.522014404,2012-02-24,0.004029251290081692
6971054.427150404,2012-02-27,0.0030384309310855784
6980043.240053205,2012-02-28,0.0012894481023977278
6963063.304412306,2012-02-29,-0.002432640466102476
6947432.168160506,2012-03-01,-0.0022448648774879842
6975179.372215306,2012-03-02,0.003993879088444174
6960582.382498306,2012-03-05,-0.0020927045654403065
6927094.360653209,2012-03-06,-0.004811094820068473
6897474.155582909,2012-03-07,-0.004275992721933575
6932226.157614507,2012-03-08,0.00503836640017985
6987490.68333471,2012-03-09,0.00797211811381815
6997602.950970212,2012-03-12,0.0014471958666963936
7020762.485028911,2012-03-13,0.003309638203391918
6955754.994218712,2012-03-14,-0.009259320614936284
6965706.072415112,2012-03-15,0.001430625173639788
7020381.60967921,2012-03-16,0.007849245531708515
6995650.433173811,2012-03-19,-0.0035227681172347314
6925080.03516301,2012-03-20,-0.010087753624188012
6921968.237540411,2012-03-21,-0.00044935186406480643
6924911.768770909,2012-03-22,0.0004252448334758352
6869446.385466509,2012-03-23,-0.008009543681773867
6939934.72366891,2012-03-26,0.010261138124832092
6902321.855932208,2012-03-27,-0.0054197725532521
6809776.536931009,2012-03-28,-0.01340785331846861
6770623.682960108,2012-03-29,-0.005749506427790374
6779789.470448507,2012-03-30,0.0013537582234066647
6882399.862784207,2012-04-05,0.015134746113128372
6902070.447830306,2012-04-06,0.0028580997091531835
6884828.035539106,2012-04-09,-0.002498150724703385
6937749.656257105,2012-04-10,0.0076867018965209866
6995510.195925705,2012-04-12,0.008325543948750846
7015002.971590806,2012-04-13,0.002786469481018461
6995354.233121704,2012-04-16,-0.0028009593935561794
6957369.2671887055,2012-04-17,-0.005430027510708091
7016452.435507505,2012-04-18,0.008492170826326362
6935189.062328305,2012-04-19,-0.011581831976506862
6973579.462571405,2012-04-20,0.005535595338220123
6930734.969413404,2012-04-23,-0.0061438309247001666
6906955.4260901045,2012-04-24,-0.0034310276512149462
6927079.313328605,2012-04-25,0.002913568424444346
6933205.2427918045,2012-04-26,0.0008843452176752198
6976580.548037104,2012-04-27,0.0062561692213563
7071698.719490304,2012-05-02,0.013633924355673344
7118558.203009803,2012-05-03,0.006626340484550131
7188473.329213202,2012-05-04,0.00982152905258804
7230601.801041702,2012-05-07,0.005860558966991558
7206438.359351503,2012-05-08,-0.003341829954834119
7115254.841558303,2012-05-09,-0.012653062892694411
7148114.982674702,2012-05-10,0.00461826622491035
7141494.883831201,2012-05-11,-0.0009261321144869994
7089432.9645104995,2012-05-14,-0.00729005903771951
7069857.6913373,2012-05-15,-0.0027611902490921603
7024361.814527599,2012-05-16,-0.006435189899995808
7089548.8161327,2012-05-17,0.009280131537399372
7029106.8355837,2012-05-18,-0.00852550453019818
7115983.8664979,2012-05-21,0.012359611675611504
7174194.3618578,2012-05-22,0.008180245550296172
7281441.3102467,2012-05-23,0.014948988413122422
7200270.081616901,2012-05-24,-0.011147686999217088
7109601.7202799,2012-05-25,-0.012592355607394135
7255793.3292216,2012-05-28,0.020562559576958073
7293571.023065001,2012-05-29,0.005206555938033208
7265004.2618562,2012-05-30,-0.003916704330219289
7267584.4853839995,2012-05-31,0.00035515788219786515
7330454.801310997,2012-06-01,0.008650785698252061
7208885.933988799,2012-06-04,-0.016584082518380172
7247376.917324299,2012-06-05,0.005339380271509153
7230616.953665799,2012-06-06,-0.0023125558184280415
7179016.981265798,2012-06-07,-0.0071363166837155045
7156576.315497398,2012-06-08,-0.003125868879675364
7297220.516894601,2012-06-11,0.019652442061246722
6732019.700035999,2012-06-12,-0.07745426022826685
6828399.5836551,2012-06-13,0.014316637192637094
6836834.181072298,2012-06-14,0.0012352231754841903
6741923.709492999,2012-06-15,-0.013882225174051799
6712224.9690384995,2012-06-18,-0.0044050840285662085
6741909.079367601,2012-06-19,0.004422395027882109
6617703.263643699,2012-06-20,-0.018422944341390246
6552306.7814703,2012-06-21,-0.009882051154011973
6504914.120158199,2012-06-25,-0.007232973499672668
6348919.332213098,2012-06-26,-0.023981068014670037
6334625.560587699,2012-06-27,-0.002251370804614905
6332343.9465956,2012-06-28,-0.00036018135093796033
6421092.2163465,2012-06-29,0.014015074117793791
6601798.575248798,2012-07-02,0.028142620104764093
6578450.302420898,2012-07-03,-0.003536653316784988
6568620.6413434995,2012-07-04,-0.001494221378214533
6575688.907616999,2012-07-05,0.0010760655333039715
6756115.867412398,2012-07-06,0.027438487788921995
6805561.961916499,2012-07-09,0.0073187161787144905
6697431.672081899,2012-07-10,-0.01588851742731756
6934532.201585199,2012-07-11,0.03540170935847664
6969373.120994199,2012-07-12,0.005024263843065757
7018527.016324999,2012-07-13,0.007052843129137454
6846436.781573,2012-07-16,-0.02451942328521628
6696411.301572999,2012-07-17,-0.021912928547560773
6599124.341572999,2012-07-18,-0.014528223494448045
6637627.061573,2012-07-19,0.0058345195524567295
6565588.381573001,2012-07-20,-0.01085307736209673
6512399.341572998,2012-07-23,-0.008101184068937894
6585895.701572998,2012-07-24,0.01128560399096279
6525861.101573002,2012-07-25,-0.009115631756157039
6382678.581573,2012-07-26,-0.02194078570956537
6301931.9015730005,2012-07-27,-0.01265090807378555
6301428.301573,2012-07-30,-7.991200283752331e-05
6303097.981572998,2012-07-31,0.00026496849921797683
6356013.621572998,2012-08-01,0.008395179664777208
6441497.821573,2012-08-02,0.013449341850032992
6504565.661573002,2012-08-03,0.009790865687912431
6569632.501572998,2012-08-06,0.010003256694661511
6553892.021573001,2012-08-07,-0.002395945282514522
6470889.461573002,2012-08-08,-0.0126646212245769
6655417.101573002,2012-08-09,0.028516580463289642
6604933.101573,2012-08-10,-0.0075853998674357825
6551734.861573,2012-08-13,-0.00805431927650102
