account_rewards,date
196676.8188410988,2012-07-10
41363.296213299014,2012-07-11
39605.373553502235,2012-07-12
-43215.69555490397,2012-07-13
-124177.49476249941,2012-07-16
-74625.53237799763,2012-07-17
2455.6336253976647,2012-07-18
-65870.1819819988,2012-07-19
-42290.5119010997,2012-07-20
31033.40247080083,2012-07-23
-84968.43114049957,2012-07-24
-69033.64138999791,2012-07-25
-56482.60046090339,2012-07-26
-16945.333763897885,2012-07-27
7150.187235398614,2012-07-30
-4811.779677299734,2012-07-31
115672.38803250153,2012-08-01
42347.72979490069,2012-08-02
33345.78613729714,2012-08-03
-8033.891052396977,2012-08-06
-83436.64915510113,2012-08-07
118690.47331110192,2012-08-08
-53335.749997000086,2012-08-09
-49445.2218597036,2012-08-10
-44416.97781060024,2012-08-13
-91796.19100929821,2012-08-14
-74976.4122849,2012-08-15
-12946.887487900382,2012-08-16
-8394.399237201189,2012-08-17
38885.035844403006,2012-08-20
-86180.55192400081,2012-08-21
-30807.859992000336,2012-08-22
-21570.538955798802,2012-08-23
-92149.63326320151,2012-08-24
61887.866658602,2012-08-27
-51028.68861439873,2012-08-28
-76782.11529370003,2012-08-29
-32270.96887079869,2012-08-30
57275.062770897755,2012-08-31
-29934.086733398788,2012-09-03
48154.12225729808,2012-09-04
8737.193392399011,2012-09-05
197972.3617485032,2012-09-06
-30823.942574399982,2012-09-07
-7550.168937999577,2012-09-10
-15487.12603930175,2012-09-11
-38053.77460849894,2012-09-12
6703.477185399947,2012-09-13
-187753.83406100117,2012-09-14
-8440.236272298198,2012-09-17
124784.32772099941,2012-09-18
-140573.3091936999,2012-09-19
25705.082288298636,2012-09-20
35941.08401160122,2012-09-21
-28797.09263810145,2012-09-24
-40495.380281098696,2012-09-25
111909.66965290207,2012-09-26
88742.75574409755,2012-09-27
-30458.48528209703,2012-09-28
156247.53861229407,2012-10-08
-51423.22348709873,2012-10-09
-63460.50060980013,2012-10-10
21838.074280502256,2012-10-11
-8545.304739197718,2012-10-12
58362.282304298256,2012-10-15
-12155.942550100197,2012-10-16
106142.14694750097,2012-10-17
-53233.542591497746,2012-10-18
-5205.3606378025015,2012-10-19
-208064.9166514979,2012-10-22
-136034.97836170145,2012-10-23
-3488.4171610979447,2012-10-24
-79176.64247140271,2012-10-25
