account_rewards,date
-271743.5999999978,2012-05-23
-167434.46040000182,2012-05-24
117600.9752000004,2012-05-25
-41276.58719999977,2012-05-28
-50597.96000000161,2012-05-29
28744.5408000018,2012-05-30
21088.4899999973,2012-05-31
-230675.9351999968,2012-06-01
2321.7475999997246,2012-06-04
-138285.32880000034,2012-06-05
-87422.61480000126,2012-06-06
-79996.91639999986,2012-06-07
-29760.171999995764,2012-06-08
-562246.9248000045,2012-06-11
67681.02720000078,2012-06-12
5051.960799999672,2012-06-13
-107655.07680000021,2012-06-14
-8892.084799999266,2012-06-15
-96883.65280000016,2012-06-18
-140278.89479999983,2012-06-19
-183239.19039999953,2012-06-20
-126436.86840000111,2012-06-21
-76916.05759999914,2012-06-25
-25371.434400002156,2012-06-26
-145333.3403999985,2012-06-27
36058.32399999958,2012-06-28
82664.87559999988,2012-06-29
89900.29960000156,2012-07-02
-41344.152399999824,2012-07-03
-165941.91360000355,2012-07-04
130660.23199999952,2012-07-05
-145136.15879999896,2012-07-06
-187844.77719999736,2012-07-09
167778.2555999988,2012-07-10
-82220.75239999927,2012-07-11
42662.41039999883,2012-07-12
-139604.4643999977,2012-07-13
-263676.2896000014,2012-07-16
-242872.53,2012-07-17
-11137.057200000267,2012-07-18
-155466.9403999988,2012-07-19
-116236.5400000019,2012-07-20
50962.33639999939,2012-07-23
-23252.917599997778,2012-07-24
-194746.84240000055,2012-07-25
-139107.5455999997,2012-07-26
-83551.25960000152,2012-07-27
-99001.38640000124,2012-07-30
-84189.53279999846,2012-07-31
-24392.654799998883,2012-08-01
31049.62680000077,2012-08-02
-3424.861600002026,2012-08-03
-45460.01679999859,2012-08-06
-103377.63119999772,2012-08-07
117310.02239999874,2012-08-08
-266006.60760000197,2012-08-09
-141631.5651999974,2012-08-10
-93280.93920000331,2012-08-13
-157860.9179999982,2012-08-14
-172388.1532000022,2012-08-15
-221542.86079999738,2012-08-16
-38712.64240000264,2012-08-17
26803.00040000252,2012-08-20
-174893.37560000125,2012-08-21
