account_rewards,date
-135298.62519999972,2012-11-15
-232977.722800003,2012-11-16
-67747.08439999708,2012-11-19
2272.6475999997924,2012-11-20
-136895.3423999982,2012-11-21
40279.45239999958,2012-11-22
-146065.4176,2012-11-23
-139549.3003999997,2012-11-26
-119311.62159999898,2012-11-27
-69645.58720000226,2012-11-28
-30179.579200001685,2012-11-29
-318203.520799997,2012-11-30
-70871.81399999972,2012-12-03
82232.00279999847,2012-12-04
-115792.77039999967,2012-12-05
60600.04520000046,2012-12-06
-45574.63799999878,2012-12-07
-49452.655200003064,2012-12-10
56343.70680000074,2012-12-11
-190278.49959999943,2012-12-12
117765.35520000246,2012-12-13
-39866.952000001205,2012-12-14
-5579.510400002017,2012-12-17
14291.25599999753,2012-12-18
-48453.7615999965,2012-12-19
-49196.29440000159,2012-12-20
-165380.21359999734,2012-12-21
-15144.632000002952,2012-12-24
-44453.241999997204,2012-12-25
-37080.9032000036,2012-12-26
49669.05240000045,2012-12-27
-1999.3347999974542,2012-12-28
-172276.21080000137,2012-12-31
-125681.77279999704,2013-01-04
19569.15839999805,2013-01-07
-18899.705199999662,2013-01-08
-97439.37560000189,2013-01-09
-171831.7847999991,2013-01-10
55588.39200000124,2013-01-11
-16767.821199999707,2013-01-14
-160016.20920000024,2013-01-15
-148364.46079999994,2013-01-16
26826.890399999902,2013-01-17
-171154.13320000246,2013-01-18
-118099.74319999997,2013-01-21
-30925.495199997942,2013-01-22
-188766.1367999979,2013-01-23
-91272.77520000296,2013-01-24
-129533.30439999912,2013-01-25
-88114.04439999998,2013-01-28
-100627.50400000098,2013-01-29
-105588.63239999735,2013-01-30
-14573.348800001262,2013-01-31
-130743.75600000122,2013-02-01
83002.17599999983,2013-02-04
-82490.36519999799,2013-02-05
-15980.745599999966,2013-02-06
83909.88079999754,2013-02-07
-219675.89319999775,2013-02-08
-151676.83279999997,2013-02-18
11503.648799999864,2013-02-19
-177667.5056000005,2013-02-20
-42762.058400000664,2013-02-21
-108920.15759999916,2013-02-22
-130982.17440000216,2013-02-25
-94345.21519999813,2013-02-26
2603.081199999423,2013-02-27
-70550.34999999899,2013-02-28
-196503.50639999943,2013-03-01
9534.182799997296,2013-03-04
8655.215200001652,2013-03-05
-66061.2051999981,2013-03-06
-94482.44160000222,2013-03-07
-76703.54440000159,2013-03-08
-164949.10640000168,2013-03-11
-87839.76639999909,2013-03-12
-45999.59759999615,2013-03-13
-85515.2316000015,2013-03-14
-209970.40280000167,2013-03-15
-154253.8303999984,2013-03-18
103558.81400000061,2013-03-19
-98896.63000000243,2013-03-20
-1987.2063999966106,2013-03-21
-70294.03800000079,2013-03-22
-79035.01640000107,2013-03-25
-50757.96519999823,2013-03-26
-150056.94960000046,2013-03-27
-58194.57679999839,2013-03-28
-131937.03720000183,2013-03-29
-159500.11279999948,2013-04-01
-73048.82319999998,2013-04-02
-59569.560400000286,2013-04-03
-28278.566800000328,2013-04-08
-7516.40760000366,2013-04-09
-94459.1099999998,2013-04-10
-53269.05199999889,2013-04-11
-96362.853599998,2013-04-12
-64839.319999998486,2013-04-15
80977.05199999973,2013-04-16
-63371.456400004805,2013-04-17
-874.4951999963882,2013-04-18
-176161.4260000009,2013-04-19
-157472.4240000001,2013-04-22
36711.44159999944,2013-04-23
-40969.16119999973,2013-04-24
-123574.30799999938,2013-04-25
-164400.6836000003,2013-04-26
-11425.454799998022,2013-05-02
45673.084000001036,2013-05-03
72923.94439999625,2013-05-06
8543.362400002054,2013-05-07
4514.431200001056,2013-05-08
-20365.65839999911,2013-05-09
-104612.18160000343,2013-05-10
-225772.16919999834,2013-05-13
-20535.320400000815,2013-05-14
-25311.193199999743,2013-05-15
-11370.960000002151,2013-05-16
-91189.46880000012,2013-05-17
-62301.915199999414,2013-05-20
-11241.313599998288,2013-05-21
-116338.25119999929,2013-05-22
-68582.82719999943,2013-05-23
-84176.6540000012,2013-05-24
3757.6803999986496,2013-05-27
-64252.14639999843,2013-05-28
-118401.87079999955,2013-05-29
-135885.14119999905,2013-05-30
-38668.62680000321,2013-05-31
-102811.68279999943,2013-06-03
-14015.396800000572,2013-06-04
-98060.71839999707,2013-06-05
-201281.87280000056,2013-06-06
-199757.01840000137,2013-06-07
6269.314799997836,2013-06-13
15804.24440000096,2013-06-14
27584.800400002212,2013-06-17
26166.30000000097,2013-06-18
-218054.02600000316,2013-06-19
-84876.57560000001,2013-06-20
-252006.02039999858,2013-06-21
-26184.293999999667,2013-06-24
-99853.96120000117,2013-06-25
-79825.15519999873,2013-06-26
-2097.897200001679,2013-06-27
-188643.16359999852,2013-06-28
51579.82320000123,2013-07-01
-105264.6580000008,2013-07-02
-67556.93799999722,2013-07-03
-42822.10440000311,2013-07-04
-201389.26359999925,2013-07-05
-103084.05080000304,2013-07-08
14644.448800004699,2013-07-09
71317.54439999483,2013-07-10
-169294.7051999963,2013-07-11
-67755.84240000398,2013-07-12
40265.51920000359,2013-07-15
-151249.85559999957,2013-07-16
-142286.37400000385,2013-07-17
-284447.63039999653,2013-07-18
-31279.229600000068,2013-07-19
83924.6848000005,2013-07-22
-124912.92680000358,2013-07-23
-43493.39799999803,2013-07-24
-137976.26159999974,2013-07-25
-162434.77480000065,2013-07-26
-90293.83760000067,2013-07-29
-102471.52479999843,2013-07-30
54861.72359999731,2013-07-31
-23951.307199999927,2013-08-01
11813.868800001295,2013-08-02
-45797.163200003546,2013-08-05
-90300.28519999422,2013-08-06
-103305.25800000163,2013-08-07
-12187.78920000083,2013-08-08
122579.63680000031,2013-08-09
-36925.690800003,2013-08-12
