,0
Annual return,0.19310171245720675
Cumulative returns,0.5957023052212012
Annual volatility,0.2756158870074941
Sharpe ratio,0.7797688246550436
Calmar ratio,0.573128931934451
Stability,0.4532025077481811
Max drawdown,-0.33692543108134676
Omega ratio,1.1407297203728575
Sortino ratio,1.1169105173254448
Skew,
Kurtosis,
Tail ratio,1.1148662014275512
Daily value at risk,-0.03387149387514127
