,0
Annual return,0.024778389780667487
Cumulative returns,0.06692930590819945
Annual volatility,0.23824431024945608
Sharpe ratio,0.22208774439268086
Calmar ratio,0.07094022020261845
Stability,0.19066743588049434
Max drawdown,-0.34928549291073246
Omega ratio,1.0382557782991522
Sortino ratio,0.3115864025675402
Skew,
Kurtosis,
Tail ratio,0.9556314855814757
Daily value at risk,-0.029805996876493802
