,0
Annual return,0.17032987026586133
Cumulative returns,0.5163523052898991
Annual volatility,0.27909748130853573
Sharpe ratio,0.7042615994319594
Calmar ratio,0.46985714483490953
Stability,0.35842008897163075
Max drawdown,-0.3625141644397234
Omega ratio,1.1259090565724852
Sortino ratio,1.009275807954892
Skew,
Kurtosis,
Tail ratio,1.0936666776151995
Daily value at risk,-0.034382986851027066
