,0
Annual return,-0.23297660170633994
Cumulative returns,-0.5033816904506996
Annual volatility,0.27229120407393986
Sharpe ratio,-0.8396826601132966
Calmar ratio,-0.412033816317862
Stability,0.7804477635858397
Max drawdown,-0.5654307789305598
Omega ratio,0.8671835902249575
Sortino ratio,-1.2170090896517662
Skew,
Kurtosis,
Tail ratio,1.1514125096093852
Daily value at risk,-0.03521276160556368
