,0
Annual return,0.20380996056055256
Cumulative returns,0.631486305908197
Annual volatility,0.3107007261573148
Sharpe ratio,0.7535519739933446
Calmar ratio,0.475601537957589
Stability,0.3001675981114828
Max drawdown,-0.42853091147641953
Omega ratio,1.133129402116022
Sortino ratio,1.0877410788668884
Skew,
Kurtosis,
Tail ratio,1.0357948068958998
Daily value at risk,-0.03821552816442945
