,0
Annual return,0.02095339850771083
Cumulative returns,0.0562473197856026
Annual volatility,0.24846519090919186
Sharpe ratio,0.20821613356596747
Calmar ratio,0.0982821810351354
Stability,0.4898662044545509
Max drawdown,-0.21319631175278955
Omega ratio,1.0355195633705307
Sortino ratio,0.2867430511856175
Skew,
Kurtosis,
Tail ratio,0.9772937567721507
Daily value at risk,-0.031098376166055777
