,0
Annual return,0.2822101674713988
Cumulative returns,0.927047308106596
Annual volatility,0.45254945460252216
Sharpe ratio,0.7757535425698403
Calmar ratio,0.5423770174505393
Stability,0.2084559121356184
Max drawdown,-0.520321028346549
Omega ratio,1.1358229239873041
Sortino ratio,1.168578851058002
Skew,
Kurtosis,
Tail ratio,1.202599824497575
Daily value at risk,-0.0556227496485647
